config_name,rep,generation,is_active_generation,job_id,flush_completion_time,time_micros,flush_reason,generation_range_deletions,cumulative_flushed_range_deletions,pre_flush_logical_bytes,output_sst_bytes,window
Native-T512,4,15,False,29,2026-09-07 22:37:29.648471,1788791849648471,Memtable Max Range Deletions,512,7685,236584,52186,foreground
Native-T512,4,16,False,30,2026-09-07 22:37:29.696520,1788791849696520,Memtable Max Range Deletions,512,8197,241395,52781,foreground
Native-T512,4,17,False,31,2026-09-07 22:37:29.744738,1788791849744738,Memtable Max Range Deletions,514,8711,245158,53464,foreground
Native-T512,4,18,False,34,2026-09-07 22:37:29.797452,1788791849797452,Memtable Max Range Deletions,512,9223,236867,52156,foreground
Native-T512,4,19,False,35,2026-09-07 22:37:29.857231,1788791849857231,Memtable Max Range Deletions,513,9736,225306,50867,foreground
Native-T512,4,20,False,36,2026-09-07 22:37:29.918573,1788791849918573,Memtable Max Range Deletions,512,10248,240546,52689,foreground
Native-T512,4,21,False,37,2026-09-07 22:37:29.978227,1788791849978227,Memtable Max Range Deletions,512,10760,239980,52759,foreground
Native-T512,4,22,False,39,2026-09-07 22:37:30.040598,1788791850040598,Memtable Max Range Deletions,512,11272,245923,53319,foreground
Native-T512,4,23,False,40,2026-09-07 22:37:30.100972,1788791850100972,Memtable Max Range Deletions,512,11784,227528,51053,foreground
Native-T512,4,24,False,41,2026-09-07 22:37:30.161693,1788791850161693,Memtable Max Range Deletions,512,12296,234886,52081,foreground
Native-T512,4,25,False,45,2026-09-07 22:37:30.218043,1788791850218043,Memtable Max Range Deletions,512,12808,242810,52805,foreground
Native-T512,4,26,False,46,2026-09-07 22:37:30.283990,1788791850283990,Memtable Max Range Deletions,512,13320,237150,52287,foreground
Native-T512,4,27,False,47,2026-09-07 22:37:30.344036,1788791850344036,Memtable Max Range Deletions,513,13833,235211,51926,foreground
Native-T512,4,28,False,48,2026-09-07 22:37:30.405277,1788791850405277,Memtable Max Range Deletions,514,14347,245158,53347,foreground
